Corresponding to Fig. 1c,,
Cell,Cluster,Organ
forebrain_E9.5_embryo2_sc85,HC,forebrain
forebrain_E10.5_embryo2_sc2,HC,forebrain
forebrain_E10.5_embryo2_sc5,HC,forebrain
forebrain_E10.5_embryo2_sc8,HC,forebrain
forebrain_E10.5_embryo2_sc9,HC,forebrain
forebrain_E10.5_embryo1_sc65,HC,forebrain
forebrain_E10.5_embryo1_sc70,HC,forebrain
forebrain_E10.5_embryo1_sc74,HC,forebrain
forebrain_E10.5_embryo1_sc76,HC,forebrain
forebrain_E10.5_embryo1_sc85,HC,forebrain
forebrain_E10.5_embryo1_sc86,HC,forebrain
forebrain_E10.5_embryo1_sc87,HC,forebrain
forebrain_E10.5_embryo1_sc90,HC,forebrain
forebrain_E10.5_embryo1_sc92,HC,forebrain
forebrain_E10.5_embryo1_sc95,HC,forebrain
forebrain_E10.5_embryo1_sc96,HC,forebrain
forebrain_E11.5_embryo1_sc26,HC,forebrain
heart_E9.5_embryo1_sc14,HC,heart
heart_E9.5_embryo1_sc16,HC,heart
heart_E9.5_embryo1_sc28,HC,heart
heart_E9.5_embryo2_sc44,HC,heart
heart_E9.5_embryo2_sc69,HC,heart
heart_E10.5_embryo1_sc13,HC,heart
heart_E10.5_embryo1_sc15,HC,heart
heart_E10.5_embryo1_sc28,HC,heart
heart_E10.5_embryo1_sc37,HC,heart
heart_E10.5_embryo2_sc62,HC,heart
heart_E11.5_embryo1_sc3,HC,heart
heart_E11.5_embryo1_sc25,HC,heart
heart_E11.5_embryo1_sc27,HC,heart
heart_E11.5_embryo1_sc36,HC,heart
heart_E11.5_embryo2_sc56,HC,heart
heart_E11.5_embryo2_sc86,HC,heart
intestine_E10.5_embryo2_sc53,HC,intestine
liver_E9.5_embryo3_sc53,HC,liver
liver_E9.5_embryo3_sc58,HC,liver
liver_E9.5_embryo3_sc60,HC,liver
liver_E9.5_embryo3_sc66,HC,liver
liver_E9.5_embryo3_sc72,HC,liver
liver_E9.5_embryo3_sc74,HC,liver
liver_E9.5_embryo3_sc77,HC,liver
liver_E9.5_embryo3_sc78,HC,liver
liver_E9.5_embryo3_sc79,HC,liver
liver_E9.5_embryo3_sc83,HC,liver
liver_E9.5_embryo3_sc87,HC,liver
liver_E9.5_embryo3_sc90,HC,liver
liver_E9.5_embryo3_sc92,HC,liver
liver_E9.5_embryo3_sc93,HC,liver
liver_E9.5_embryo3_sc94,HC,liver
liver_E10.5_embryo1_sc1,HC,liver
liver_E10.5_embryo1_sc2,HC,liver
liver_E10.5_embryo1_sc3,HC,liver
liver_E10.5_embryo1_sc4,HC,liver
liver_E10.5_embryo1_sc5,HC,liver
liver_E10.5_embryo1_sc6,HC,liver
liver_E10.5_embryo1_sc7,HC,liver
liver_E10.5_embryo1_sc9,HC,liver
