curve1,curve2
hindbrain_E9.5_embryo1_sc31-0-0,250.884577575138,250.881430853664
hindbrain_E9.5_embryo1_sc32-0-0,36.4116097800466,36.4120971810642
hindbrain_E9.5_embryo1_sc33-0-0,310.813435575933,311.029196358734
hindbrain_E9.5_embryo1_sc35-0-0,1319.10640462844,NA
hindbrain_E9.5_embryo1_sc36-0-0,262.923627255706,263.013472972785
hindbrain_E9.5_embryo1_sc37-0-0,148.191284667176,148.183680323475
hindbrain_E9.5_embryo1_sc38-0-0,1437.99201602333,NA
hindbrain_E9.5_embryo1_sc39-0-0,199.985103702976,199.991839767158
hindbrain_E9.5_embryo1_sc40-0-0,141.392067318361,141.407129074232
hindbrain_E9.5_embryo1_sc41-0-0,366.901563314337,366.998293356649
hindbrain_E9.5_embryo1_sc42-0-0,1404.95761834634,NA
hindbrain_E9.5_embryo1_sc43-0-0,1432.17660729651,NA
hindbrain_E9.5_embryo1_sc44-0-0,1449.43681375853,NA
hindbrain_E9.5_embryo1_sc45-0-0,1483.84779168749,NA
hindbrain_E9.5_embryo1_sc46-0-0,241.473662958323,241.470536605401
hindbrain_E9.5_embryo1_sc47-0-0,1478.19736962365,NA
hindbrain_E9.5_embryo1_sc48-0-0,86.6579991794018,86.6577527607289
hindbrain_E9.5_embryo1_sc49-0-0,1334.12235193169,NA
hindbrain_E9.5_embryo1_sc50-0-0,213.192109130561,213.194685924963
hindbrain_E9.5_embryo1_sc51-0-0,248.273321396519,248.272964472459
hindbrain_E9.5_embryo1_sc52-0-0,364.445777907422,364.469397182303
hindbrain_E9.5_embryo1_sc53-0-0,1450.84409153515,NA
hindbrain_E9.5_embryo1_sc54-0-0,319.181915711915,319.546879421054
hindbrain_E9.5_embryo1_sc55-0-0,46.9462915829101,46.9472614020886
hindbrain_E9.5_embryo1_sc56-0-0,1479.28908124417,NA
hindbrain_E9.5_embryo1_sc57-0-0,17.0723225494463,17.072431490595
hindbrain_E9.5_embryo1_sc58-0-0,295.408928324391,295.398780191789
hindbrain_E9.5_embryo1_sc59-0-0,1428.82326139901,NA
hindbrain_E9.5_embryo1_sc60-0-0,146.988715309761,146.977269809468
hindbrain_E9.5_embryo1_sc61-0-0,0,0
hindbrain_E9.5_embryo1_sc62-0-0,70.8027947893359,70.8014999529481
hindbrain_E9.5_embryo1_sc63-0-0,1491.79119428609,NA
hindbrain_E9.5_embryo1_sc64-0-0,1284.99089082463,NA
hindbrain_E9.5_embryo1_sc65-0-0,1356.09401289466,NA
hindbrain_E9.5_embryo1_sc66-0-0,1456.96952299861,NA
hindbrain_E9.5_embryo1_sc67-0-0,1476.38423366912,NA
hindbrain_E9.5_embryo1_sc68-0-0,221.847652474077,221.843386908595
hindbrain_E9.5_embryo1_sc69-0-0,195.61842803125,195.581964988905
hindbrain_E9.5_embryo1_sc70-0-0,27.4709226919437,27.4707199015819
hindbrain_E9.5_embryo1_sc71-0-0,174.488924819315,174.488361372428
hindbrain_E9.5_embryo1_sc72-0-0,270.496127120925,270.452269809811
hindbrain_E9.5_embryo1_sc73-0-0,57.3054511642902,57.3053132283255
hindbrain_E9.5_embryo1_sc74-0-0,1377.13719587327,NA
hindbrain_E9.5_embryo2_sc51-1-0,1289.07592106028,NA
hindbrain_E9.5_embryo2_sc52-1-0,596.506866378915,601.836667262088
hindbrain_E9.5_embryo2_sc54-1-0,501.07767474619,503.784758568302
hindbrain_E9.5_embryo2_sc56-1-0,1270.65954688542,NA
hindbrain_E9.5_embryo2_sc57-1-0,515.265534653943,516.628987099901
hindbrain_E9.5_embryo2_sc58-1-0,552.097602311136,555.158671542706
hindbrain_E9.5_embryo2_sc60-1-0,1391.91233859116,NA
hindbrain_E9.5_embryo2_sc61-1-0,545.612695753553,549.210424921391
hindbrain_E9.5_embryo2_sc62-1-0,1350.50229420299,NA
hindbrain_E9.5_embryo2_sc63-1-0,NA,1460.26489680971
hindbrain_E9.5_embryo2_sc68-1-0,427.953431304221,429.306513641114
hindbrain_E9.5_embryo2_sc70-1-0,712.157235670995,707.298584430693
hindbrain_E9.5_embryo2_sc72-1-0,457.099670082864,458.259559862348
hindbrain_E9.5_embryo2_sc74-1-0,377.221980866274,377.063203180071
